mm,tt,study_design,variable,mean,median,max
all,phn,RCT,FQ_max,0.04217714379494444,0.022222222222222223,0.3022222222222222
all,phn,RCT,FQ,0.03213941840755406,0.02,0.13777777777777778
all,phn,RCT,FI_max,4.621621621621622,2.0,68.0
all,phn,RCT,FI,3.27027027027027,1.0,31.0
all,bbd,RCT,FQ_max,0.0628238211736475,0.037037037037037035,0.25
all,bbd,RCT,FQ,0.05081915757601976,0.03333333333333333,0.2235294117647059
all,bbd,RCT,FI_max,5.672727272727273,3.0,37.0
all,bbd,RCT,FI,4.509090909090909,2.0,29.0
FI>0,phn,RCT,FQ_max,0.055734082871890855,0.034575260804769,0.3022222222222222
FI>0,phn,RCT,FQ,0.0424699457528393,0.03125,0.13777777777777778
FI>0,phn,RCT,FI_max,6.107142857142857,3.5,68.0
FI>0,phn,RCT,FI,4.321428571428571,3.0,31.0
FI>0,bbd,RCT,FQ_max,0.08226928963215745,0.05985074626865672,0.25
FI>0,bbd,RCT,FQ,0.06654889682574018,0.05555555555555555,0.2235294117647059
FI>0,bbd,RCT,FI_max,7.428571428571429,4.0,37.0
FI>0,bbd,RCT,FI,5.904761904761905,3.0,29.0
all,phn,Other,FQ_max,0.05778143753510822,0.023168020849302466,0.5121951219512195
all,phn,Other,FQ,0.053267014050592774,0.021405677655677656,0.5121951219512195
all,phn,Other,FI_max,11.402173913043478,3.0,112.0
all,phn,Other,FI,10.391304347826088,3.0,112.0
all,bbd,Other,FQ_max,0.08589097094060932,0.05844155844155844,0.4444444444444444
all,bbd,Other,FQ,0.05929656075737509,0.03896103896103896,0.3178082191780822
all,bbd,Other,FI_max,26.070422535211268,9.0,500.0
all,bbd,Other,FI,18.535211267605632,6.0,500.0
FI>0,phn,Other,FQ_max,0.07383183685041605,0.03709862385321101,0.5121951219512195
FI>0,phn,Other,FQ,0.06806340684242411,0.03279569892473118,0.5121951219512195
FI>0,phn,Other,FI_max,14.569444444444445,7.0,112.0
FI>0,phn,Other,FI,13.277777777777779,5.0,112.0
FI>0,bbd,Other,FQ_max,0.0952852958872385,0.06777513855898654,0.4444444444444444
FI>0,bbd,Other,FQ,0.065782122090213,0.047513005166148856,0.3178082191780822
FI>0,bbd,Other,FI_max,28.921875,9.5,500.0
FI>0,bbd,Other,FI,20.5625,6.5,500.0
